=== Q-Table Approximation Summary ===
Goal ID: 0 | Epsilon: 1.0000

State[g:0, h:0, n:0, ge:0, v:0] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.16
State[g:2, h:1, n:0, ge:1, v:6] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.28
State[g:2, h:1, n:0, ge:1, v:7] -> Best action ID: 11 | Action(delta_head=-1, delta_nav=0, delta_gesture=-1, delta_volume=1) | Q: 0.36
State[g:2, h:1, n:0, ge:1, v:8] -> Best action ID: 11 | Action(delta_head=-1, delta_nav=0, delta_gesture=-1, delta_volume=1) | Q: 0.36
State[g:2, h:1, n:0, ge:1, v:9] -> Best action ID: 49 | Action(delta_head=0, delta_nav=1, delta_gesture=0, delta_volume=0) | Q: 0.34
State[g:2, h:1, n:0, ge:2, v:0] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.22
State[g:2, h:1, n:0, ge:2, v:1] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.22
State[g:2, h:1, n:0, ge:2, v:2] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.23
State[g:2, h:1, n:0, ge:2, v:3] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.24
State[g:2, h:1, n:0, ge:2, v:4] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.32
State[g:2, h:1, n:0, ge:2, v:5] -> Best action ID: 11 | Action(delta_head=-1, delta_nav=0, delta_gesture=-1, delta_volume=1) | Q: 0.33
State[g:2, h:1, n:0, ge:2, v:6] -> Best action ID: 11 | Action(delta_head=-1, delta_nav=0, delta_gesture=-1, delta_volume=1) | Q: 0.35
State[g:2, h:1, n:0, ge:2, v:7] -> Best action ID: 13 | Action(delta_head=-1, delta_nav=0, delta_gesture=0, delta_volume=0) | Q: 0.25
State[g:2, h:1, n:0, ge:2, v:8] -> Best action ID: 11 | Action(delta_head=-1, delta_nav=0, delta_gesture=-1, delta_volume=1) | Q: 0.35
State[g:2, h:1, n:0, ge:2, v:9] -> Best action ID: 11 | Action(delta_head=-1, delta_nav=0, delta_gesture=-1, delta_volume=1) | Q: 0.43
State[g:2, h:1, n:0, ge:3, v:0] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.26
State[g:2, h:1, n:0, ge:3, v:1] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.26
State[g:2, h:1, n:0, ge:3, v:2] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.28
State[g:2, h:1, n:0, ge:3, v:3] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.30
State[g:2, h:1, n:0, ge:3, v:4] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.30
State[g:2, h:1, n:0, ge:3, v:5] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.35
State[g:2, h:1, n:0, ge:3, v:6] -> Best action ID: 11 | Action(delta_head=-1, delta_nav=0, delta_gesture=-1, delta_volume=1) | Q: 0.35
State[g:2, h:1, n:0, ge:3, v:7] -> Best action ID: 11 | Action(delta_head=-1, delta_nav=0, delta_gesture=-1, delta_volume=1) | Q: 0.39
State[g:2, h:1, n:0, ge:3, v:8] -> Best action ID: 33 | Action(delta_head=0, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.44
State[g:2, h:1, n:0, ge:3, v:9] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.42
State[g:2, h:1, n:0, ge:4, v:0] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.24
State[g:2, h:1, n:0, ge:4, v:1] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.34
State[g:2, h:1, n:0, ge:4, v:2] -> Best action ID: 79 | Action(delta_head=1, delta_nav=1, delta_gesture=1, delta_volume=0) | Q: 0.30
State[g:2, h:1, n:0, ge:4, v:3] -> Best action ID: 17 | Action(delta_head=-1, delta_nav=0, delta_gesture=1, delta_volume=1) | Q: 0.36
State[g:2, h:1, n:0, ge:4, v:4] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.32
State[g:2, h:1, n:0, ge:4, v:5] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.37
State[g:2, h:1, n:0, ge:4, v:6] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.43
State[g:2, h:1, n:0, ge:4, v:7] -> Best action ID: 11 | Action(delta_head=-1, delta_nav=0, delta_gesture=-1, delta_volume=1) | Q: 0.37
State[g:2, h:1, n:0, ge:4, v:8] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.45
State[g:2, h:1, n:0, ge:4, v:9] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.55
State[g:2, h:1, n:0, ge:5, v:0] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.29
State[g:2, h:1, n:0, ge:5, v:1] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.39
State[g:2, h:1, n:0, ge:5, v:2] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.35
State[g:2, h:1, n:0, ge:5, v:3] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.31
State[g:2, h:1, n:0, ge:5, v:4] -> Best action ID: 11 | Action(delta_head=-1, delta_nav=0, delta_gesture=-1, delta_volume=1) | Q: 0.27
State[g:2, h:1, n:0, ge:5, v:5] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.32
State[g:2, h:1, n:0, ge:5, v:6] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.43
State[g:2, h:1, n:0, ge:5, v:7] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.46
State[g:2, h:1, n:0, ge:5, v:8] -> Best action ID: 53 | Action(delta_head=0, delta_nav=1, delta_gesture=1, delta_volume=1) | Q: 0.46
State[g:2, h:1, n:0, ge:5, v:9] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.56
State[g:2, h:1, n:0, ge:6, v:0] -> Best action ID: 17 | Action(delta_head=-1, delta_nav=0, delta_gesture=1, delta_volume=1) | Q: 0.33
State[g:2, h:1, n:0, ge:6, v:1] -> Best action ID: 17 | Action(delta_head=-1, delta_nav=0, delta_gesture=1, delta_volume=1) | Q: 0.38
State[g:2, h:1, n:0, ge:6, v:2] -> Best action ID: 11 | Action(delta_head=-1, delta_nav=0, delta_gesture=-1, delta_volume=1) | Q: 0.34
State[g:2, h:1, n:0, ge:6, v:3] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.45
State[g:2, h:1, n:0, ge:6, v:4] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.51
State[g:2, h:1, n:0, ge:6, v:5] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.45
State[g:2, h:1, n:0, ge:6, v:6] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.47
State[g:2, h:1, n:0, ge:6, v:7] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.55
State[g:2, h:1, n:0, ge:6, v:8] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.57
State[g:2, h:1, n:0, ge:6, v:9] -> Best action ID: 11 | Action(delta_head=-1, delta_nav=0, delta_gesture=-1, delta_volume=1) | Q: 0.38
State[g:2, h:1, n:0, ge:7, v:0] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.37
State[g:2, h:1, n:0, ge:7, v:1] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.39
State[g:2, h:1, n:0, ge:7, v:2] -> Best action ID: 79 | Action(delta_head=1, delta_nav=1, delta_gesture=1, delta_volume=0) | Q: 0.34
State[g:2, h:1, n:0, ge:7, v:3] -> Best action ID: 17 | Action(delta_head=-1, delta_nav=0, delta_gesture=1, delta_volume=1) | Q: 0.48
State[g:2, h:1, n:0, ge:7, v:4] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.46
State[g:2, h:1, n:0, ge:7, v:5] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.54
State[g:2, h:1, n:0, ge:7, v:6] -> Best action ID: 17 | Action(delta_head=-1, delta_nav=0, delta_gesture=1, delta_volume=1) | Q: 0.43
State[g:2, h:1, n:0, ge:7, v:7] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.66
State[g:2, h:1, n:0, ge:7, v:8] -> Best action ID: 17 | Action(delta_head=-1, delta_nav=0, delta_gesture=1, delta_volume=1) | Q: 0.66
State[g:2, h:1, n:0, ge:7, v:9] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.65
State[g:2, h:1, n:0, ge:8, v:0] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.45
State[g:2, h:1, n:0, ge:8, v:1] -> Best action ID: 33 | Action(delta_head=0, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.52
State[g:2, h:1, n:0, ge:8, v:2] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.49
State[g:2, h:1, n:0, ge:8, v:3] -> Best action ID: 17 | Action(delta_head=-1, delta_nav=0, delta_gesture=1, delta_volume=1) | Q: 0.43
State[g:2, h:1, n:0, ge:8, v:4] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.47
State[g:2, h:1, n:0, ge:8, v:5] -> Best action ID: 70 | Action(delta_head=1, delta_nav=0, delta_gesture=1, delta_volume=0) | Q: 0.45
State[g:2, h:1, n:0, ge:8, v:6] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.54
State[g:2, h:1, n:0, ge:8, v:7] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.61
State[g:2, h:1, n:0, ge:8, v:8] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.55
State[g:2, h:1, n:0, ge:8, v:9] -> Best action ID: 11 | Action(delta_head=-1, delta_nav=0, delta_gesture=-1, delta_volume=1) | Q: 0.68
State[g:2, h:1, n:1, ge:0, v:0] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.15
State[g:2, h:1, n:1, ge:0, v:1] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.19
State[g:2, h:1, n:1, ge:0, v:2] -> Best action ID: 11 | Action(delta_head=-1, delta_nav=0, delta_gesture=-1, delta_volume=1) | Q: 0.19
State[g:2, h:1, n:1, ge:0, v:3] -> Best action ID: 70 | Action(delta_head=1, delta_nav=0, delta_gesture=1, delta_volume=0) | Q: 0.22
State[g:2, h:1, n:1, ge:0, v:4] -> Best action ID: 11 | Action(delta_head=-1, delta_nav=0, delta_gesture=-1, delta_volume=1) | Q: 0.23
State[g:2, h:1, n:1, ge:0, v:5] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.31
State[g:2, h:1, n:1, ge:0, v:6] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.34
State[g:2, h:1, n:1, ge:0, v:7] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.39
State[g:2, h:1, n:1, ge:0, v:8] -> Best action ID: 65 | Action(delta_head=1, delta_nav=0, delta_gesture=-1, delta_volume=1) | Q: 0.35
State[g:2, h:1, n:1, ge:0, v:9] -> Best action ID: 11 | Action(delta_head=-1, delta_nav=0, delta_gesture=-1, delta_volume=1) | Q: 0.31
State[g:2, h:1, n:1, ge:1, v:0] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.17
State[g:2, h:1, n:1, ge:1, v:1] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.21
State[g:2, h:1, n:1, ge:1, v:2] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.28
State[g:2, h:1, n:1, ge:1, v:3] -> Best action ID: 11 | Action(delta_head=-1, delta_nav=0, delta_gesture=-1, delta_volume=1) | Q: 0.28
State[g:2, h:1, n:1, ge:1, v:4] -> Best action ID: 79 | Action(delta_head=1, delta_nav=1, delta_gesture=1, delta_volume=0) | Q: 0.27
State[g:2, h:1, n:1, ge:1, v:5] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.34
State[g:2, h:1, n:1, ge:1, v:6] -> Best action ID: 11 | Action(delta_head=-1, delta_nav=0, delta_gesture=-1, delta_volume=1) | Q: 0.28
State[g:2, h:1, n:1, ge:1, v:7] -> Best action ID: 11 | Action(delta_head=-1, delta_nav=0, delta_gesture=-1, delta_volume=1) | Q: 0.41
State[g:2, h:1, n:1, ge:1, v:8] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.40
State[g:2, h:1, n:1, ge:1, v:9] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.48
State[g:2, h:1, n:1, ge:2, v:0] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.22
State[g:2, h:1, n:1, ge:2, v:1] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.23
State[g:2, h:1, n:1, ge:2, v:2] -> Best action ID: 11 | Action(delta_head=-1, delta_nav=0, delta_gesture=-1, delta_volume=1) | Q: 0.27
State[g:2, h:1, n:1, ge:2, v:3] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.27
State[g:2, h:1, n:1, ge:2, v:4] -> Best action ID: 11 | Action(delta_head=-1, delta_nav=0, delta_gesture=-1, delta_volume=1) | Q: 0.32
State[g:2, h:1, n:1, ge:2, v:5] -> Best action ID: 11 | Action(delta_head=-1, delta_nav=0, delta_gesture=-1, delta_volume=1) | Q: 0.33
State[g:2, h:1, n:1, ge:2, v:6] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.29
State[g:2, h:1, n:1, ge:2, v:7] -> Best action ID: 11 | Action(delta_head=-1, delta_nav=0, delta_gesture=-1, delta_volume=1) | Q: 0.28
State[g:2, h:1, n:1, ge:2, v:8] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.40
State[g:2, h:1, n:1, ge:2, v:9] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.31
State[g:2, h:1, n:1, ge:3, v:0] -> Best action ID: 11 | Action(delta_head=-1, delta_nav=0, delta_gesture=-1, delta_volume=1) | Q: 0.25
State[g:2, h:1, n:1, ge:3, v:1] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.22
State[g:2, h:1, n:1, ge:3, v:2] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.29
State[g:2, h:1, n:1, ge:3, v:3] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.31
State[g:2, h:1, n:1, ge:3, v:4] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.35
State[g:2, h:1, n:1, ge:3, v:5] -> Best action ID: 11 | Action(delta_head=-1, delta_nav=0, delta_gesture=-1, delta_volume=1) | Q: 0.37
State[g:2, h:1, n:1, ge:3, v:6] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.31
State[g:2, h:1, n:1, ge:3, v:7] -> Best action ID: 11 | Action(delta_head=-1, delta_nav=0, delta_gesture=-1, delta_volume=1) | Q: 0.43
State[g:2, h:1, n:1, ge:3, v:8] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.46
State[g:2, h:1, n:1, ge:3, v:9] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.47
State[g:2, h:1, n:1, ge:4, v:0] -> Best action ID: 11 | Action(delta_head=-1, delta_nav=0, delta_gesture=-1, delta_volume=1) | Q: 0.32
State[g:2, h:1, n:1, ge:4, v:1] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.26
State[g:2, h:1, n:1, ge:4, v:2] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.27
State[g:2, h:1, n:1, ge:4, v:3] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.34
State[g:2, h:1, n:1, ge:4, v:4] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.37
State[g:2, h:1, n:1, ge:4, v:5] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.38
State[g:2, h:1, n:1, ge:4, v:6] -> Best action ID: 11 | Action(delta_head=-1, delta_nav=0, delta_gesture=-1, delta_volume=1) | Q: 0.44
State[g:2, h:1, n:1, ge:4, v:7] -> Best action ID: 79 | Action(delta_head=1, delta_nav=1, delta_gesture=1, delta_volume=0) | Q: 0.43
State[g:2, h:1, n:1, ge:4, v:8] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.35
State[g:2, h:1, n:1, ge:4, v:9] -> Best action ID: 11 | Action(delta_head=-1, delta_nav=0, delta_gesture=-1, delta_volume=1) | Q: 0.50
State[g:2, h:1, n:1, ge:5, v:0] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.33
State[g:2, h:1, n:1, ge:5, v:1] -> Best action ID: 17 | Action(delta_head=-1, delta_nav=0, delta_gesture=1, delta_volume=1) | Q: 0.31
State[g:2, h:1, n:1, ge:5, v:2] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.42
State[g:2, h:1, n:1, ge:5, v:3] -> Best action ID: 11 | Action(delta_head=-1, delta_nav=0, delta_gesture=-1, delta_volume=1) | Q: 0.30
State[g:2, h:1, n:1, ge:5, v:4] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.35
State[g:2, h:1, n:1, ge:5, v:5] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.41
State[g:2, h:1, n:1, ge:5, v:6] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.45
State[g:2, h:1, n:1, ge:5, v:7] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.47
State[g:2, h:1, n:1, ge:5, v:8] -> Best action ID: 17 | Action(delta_head=-1, delta_nav=0, delta_gesture=1, delta_volume=1) | Q: 0.37
State[g:2, h:1, n:1, ge:5, v:9] -> Best action ID: 13 | Action(delta_head=-1, delta_nav=0, delta_gesture=0, delta_volume=0) | Q: 0.47
State[g:2, h:1, n:1, ge:6, v:0] -> Best action ID: 11 | Action(delta_head=-1, delta_nav=0, delta_gesture=-1, delta_volume=1) | Q: 0.33
State[g:2, h:1, n:1, ge:6, v:1] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.36
State[g:2, h:1, n:1, ge:6, v:2] -> Best action ID: 11 | Action(delta_head=-1, delta_nav=0, delta_gesture=-1, delta_volume=1) | Q: 0.30
State[g:2, h:1, n:1, ge:6, v:3] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.39
State[g:2, h:1, n:1, ge:6, v:4] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.42
State[g:2, h:1, n:1, ge:6, v:5] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.46
State[g:2, h:1, n:1, ge:6, v:6] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.52
State[g:2, h:1, n:1, ge:6, v:7] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.49
State[g:2, h:1, n:1, ge:6, v:8] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.64
State[g:2, h:1, n:1, ge:6, v:9] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.61
State[g:2, h:1, n:1, ge:7, v:0] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.43
State[g:2, h:1, n:1, ge:7, v:1] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.39
State[g:2, h:1, n:1, ge:7, v:2] -> Best action ID: 17 | Action(delta_head=-1, delta_nav=0, delta_gesture=1, delta_volume=1) | Q: 0.37
State[g:2, h:1, n:1, ge:7, v:3] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.41
State[g:2, h:1, n:1, ge:7, v:4] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.52
State[g:2, h:1, n:1, ge:7, v:5] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.57
State[g:2, h:1, n:1, ge:7, v:6] -> Best action ID: 17 | Action(delta_head=-1, delta_nav=0, delta_gesture=1, delta_volume=1) | Q: 0.53
State[g:2, h:1, n:1, ge:7, v:7] -> Best action ID: 11 | Action(delta_head=-1, delta_nav=0, delta_gesture=-1, delta_volume=1) | Q: 0.57
State[g:2, h:1, n:1, ge:7, v:8] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.56
State[g:2, h:1, n:1, ge:7, v:9] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.62
State[g:2, h:1, n:1, ge:8, v:0] -> Best action ID: 11 | Action(delta_head=-1, delta_nav=0, delta_gesture=-1, delta_volume=1) | Q: 0.45
State[g:2, h:1, n:1, ge:8, v:1] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.50
State[g:2, h:1, n:1, ge:8, v:2] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.42
State[g:2, h:1, n:1, ge:8, v:3] -> Best action ID: 11 | Action(delta_head=-1, delta_nav=0, delta_gesture=-1, delta_volume=1) | Q: 0.50
State[g:2, h:1, n:1, ge:8, v:4] -> Best action ID: 78 | Action(delta_head=1, delta_nav=1, delta_gesture=1, delta_volume=-1) | Q: 0.36
State[g:2, h:1, n:1, ge:8, v:5] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.47
State[g:2, h:1, n:1, ge:8, v:6] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.59
State[g:2, h:1, n:1, ge:8, v:7] -> Best action ID: 11 | Action(delta_head=-1, delta_nav=0, delta_gesture=-1, delta_volume=1) | Q: 0.58
State[g:2, h:1, n:1, ge:8, v:8] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.56
State[g:2, h:1, n:1, ge:8, v:9] -> Best action ID: 33 | Action(delta_head=0, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.82
State[g:2, h:1, n:2, ge:0, v:0] -> Best action ID: 49 | Action(delta_head=0, delta_nav=1, delta_gesture=0, delta_volume=0) | Q: 0.19
State[g:2, h:1, n:2, ge:0, v:1] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.18
State[g:2, h:1, n:2, ge:0, v:2] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.20
State[g:2, h:1, n:2, ge:0, v:3] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.18
State[g:2, h:1, n:2, ge:0, v:4] -> Best action ID: 11 | Action(delta_head=-1, delta_nav=0, delta_gesture=-1, delta_volume=1) | Q: 0.25
State[g:2, h:1, n:2, ge:0, v:5] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.35
State[g:2, h:1, n:2, ge:0, v:6] -> Best action ID: 32 | Action(delta_head=0, delta_nav=-1, delta_gesture=0, delta_volume=1) | Q: 0.31
State[g:2, h:1, n:2, ge:0, v:7] -> Best action ID: 60 | Action(delta_head=1, delta_nav=-1, delta_gesture=1, delta_volume=-1) | Q: 0.31
